student_id,faculty,cathedra,rank,scienceStars,sportStars,creationStars,volunteerStars
72495571,Институт наук о Земле,"Кафедра геологии, геодезии и кадастра",34,78,62,11,59
25666847,Факультет прикладной биотехнологии и инженерии,Кафедра биотехнологии животного сырья и аквакультуры,35,41,70,90,60
31068216,Аэрокосмический институт,"Кафедра механики материалов, конструкций и машин",36,99,93,90,63
19513390,Институт энергетики электроники и связи,Кафедра электро- и теплоэнергетики,37,15,5,85,89
13562501,Архитектурно-строительный факультет,Кафедра архитектуры,38,27,58,81,75
5298861,Факультет подготовки иностранных граждан,Кафедра русского языка и общеобразовательных дисциплин,39,61,13,41,37
1247136,Институт менеджмента экономики и предпринимательства,"Кафедра управления персоналом, сервиса и туризма",40,7,75,60,57
28877305,Институт менеджмента экономики и предпринимательства,Кафедра государственного и муниципального управления,41,36,21,12,55
49750274,Институт менеджмента экономики и предпринимательства,Кафедра государственного и муниципального управления,42,73,62,53,40
28835841,Институт математики и информационных технологий,Кафедра математических методов и моделей в экономике,43,23,94,39,90
21969548,Архитектурно-строительный факультет,"Кафедра начертательной геометрии, инженерной и компьютерной графики",44,85,9,42,100
85474231,Химико-биологический факультет,Кафедра химии,45,74,92,52,41
22271871,Транспортный факультет,Кафедра автомобильного транспорта,46,35,37,55,61
95229505,Архитектурно-строительный факультет,Кафедра технологии строительного производства,47,97,27,89,10
91654915,Институт менеджмента экономики и предпринимательства,"Кафедра экономической теории, региональной и отраслевой экономики",48,43,40,18,18
29187768,Институт языков и культур,Кафедра немецкой филологии и методики преподавания немецкого языка,49,79,33,61,42
94413238,Архитектурно-строительный факультет,"Кафедра теплогазоснабжения, вентиляции и гидромеханики",50,77,6,4,51
97057877,Транспортный факультет,Кафедра автомобильного транспорта,51,80,20,98,84
26194119,Химико-биологический факультет,Кафедра биохимии и микробиологии,52,95,1,46,24
44334848,Институт менеджмента экономики и предпринимательства,Кафедра финансов,53,61,87,58,44
90734778,Институт энергетики электроники и связи,Кафедра электро- и теплоэнергетики,54,67,48,32,40
106171,Факультет прикладной биотехнологии и инженерии,Кафедра машин и аппаратов химических и пищевых производств,55,27,74,19,47
19175946,Факультет подготовки иностранных граждан,Кафедра русского языка и общеобразовательных дисциплин,56,76,47,12,58
34324530,Юридический факультет,Кафедра теории государства и права и конституционного права,57,96,98,14,75
66346304,Аэрокосмический институт,Кафедра летательных аппаратов,58,64,43,29,24
56442573,Институт социальных и гуманитарных наук,"Кафедра философии, культурологии и социологии",59,50,58,97,17
68353504,Институт математики и информационных технологий,Кафедра статистики и эконометрики,60,87,88,98,4
21802699,Архитектурно-строительный факультет,"Кафедра теплогазоснабжения, вентиляции и гидромеханики",61,49,61,62,41
49421785,Физический факультет,Кафедра биофизики и физики конденсированного состояния,62,90,19,41,23
97530643,Институт энергетики электроники и связи,Кафедра электро- и теплоэнергетики,63,44,100,2,91
93230473,Юридический факультет,Кафедра административного и финансового права,64,4,11,93,63
90794098,Институт энергетики электроники и связи,Кафедра промышленной электроники и информационно-измерительной техники,65,36,98,74,35
31058949,Физический факультет,Кафедра биофизики и физики конденсированного состояния,66,53,10,91,41
35618890,Факультет прикладной биотехнологии и инженерии,Кафедра машин и аппаратов химических и пищевых производств,67,54,25,100,71
50987104,Химико-биологический факультет,Кафедра биохимии и микробиологии,68,83,54,84,90
36405828,Факультет прикладной биотехнологии и инженерии,Кафедра биотехнологии животного сырья и аквакультуры,69,66,51,70,72
36782028,Факультет подготовки иностранных граждан,Кафедра русского языка и общеобразовательных дисциплин,70,16,6,74,12
7401762,Институт наук о Земле,Кафедра географии и регионоведения,71,81,98,19,52
60056077,Институт социальных и гуманитарных наук,Кафедра общей психологии и психологии личности,72,50,25,86,61
35613386,Транспортный факультет,"Кафедра метрологии, стандартизации и сертификации",73,64,33,22,36
22686982,Институт математики и информационных технологий,Кафедра вычислительной техники и защиты информации,74,66,66,41,30
84239677,Архитектурно-строительный факультет,Кафедра автомобильных дорог и строительных материалов,75,56,50,45,38
8279222,Транспортный факультет,Кафедра автомобильного транспорта,76,53,82,51,44
5224139,Транспортный факультет,"Кафедра метрологии, стандартизации и сертификации",77,78,78,34,20
1118330,Транспортный факультет,Кафедра технической эксплуатации и ремонта автомобилей,78,53,32,26,13
20541780,Аэрокосмический институт,Кафедра управления и информатики в технических системах,79,22,50,10,62
40486562,Химико-биологический факультет,Кафедра биохимии и микробиологии,80,81,78,60,87
60353146,Институт менеджмента экономики и предпринимательства,Кафедра таможенного дела,81,35,27,41,91
29330242,Архитектурно-строительный факультет,Кафедра архитектуры,82,100,50,27,36
47909169,Факультет подготовки иностранных граждан,Кафедра русского языка и общеобразовательных дисциплин,83,17,49,36,68
96686429,Факультет подготовки иностранных граждан,Кафедра русского языка и общеобразовательных дисциплин,84,90,95,55,67
6087286,Архитектурно-строительный факультет,Кафедра архитектуры,85,64,60,100,80
37881003,Аэрокосмический институт,"Кафедра технологии машиностроения, металлообрабатывающих станков и комплексов",86,12,33,21,87
51336883,Институт наук о Земле,Кафедра экологии и природопользования,87,23,74,57,15
52077501,Физический факультет,Кафедра медико-биологической техники,88,71,71,65,62
53428461,Химико-биологический факультет,Кафедра химии,89,51,79,88,46
31699193,Институт языков и культур,Кафедра журналистики,90,43,19,28,82
10113750,Институт менеджмента экономики и предпринимательства,"Кафедра управления персоналом, сервиса и туризма",91,44,72,9,46
2239649,Институт математики и информационных технологий,Кафедра математических методов и моделей в экономике,92,72,91,16,52
30193511,Транспортный факультет,Кафедра автомобильного транспорта,93,91,16,32,63
69681636,Транспортный факультет,"Кафедра метрологии, стандартизации и сертификации",94,97,36,84,72
88095416,Институт социальных и гуманитарных наук,Кафедра истории,95,30,100,84,34
52883367,Институт энергетики электроники и связи,Кафедра электро- и теплоэнергетики,96,96,50,35,90
84982488,Факультет подготовки иностранных граждан,Кафедра русского языка и общеобразовательных дисциплин,97,28,68,40,85
26626849,Юридический факультет,Кафедра конкурентного права и развития конкуренции,98,28,24,81,62
96460515,Аэрокосмический институт,"Кафедра механики материалов, конструкций и машин",99,27,28,40,3
92603403,Факультет подготовки иностранных граждан,Кафедра русского языка и общеобразовательных дисциплин,100,17,48,78,8
14337679,Архитектурно-строительный факультет,Кафедра архитектуры,101,69,71,98,96
83122524,Институт социальных и гуманитарных наук,Кафедра общей и профессиональной педагогики,102,55,72,45,29
30773260,Юридический факультет,Кафедра организации судебной и прокурорско-следственной деятельности,103,61,94,53,63
623043,Факультет прикладной биотехнологии и инженерии,Кафедра пищевой биотехнологии,104,60,33,78,72
48789440,Институт языков и культур,Кафедра немецкой филологии и методики преподавания немецкого языка,105,57,93,15,74
66326619,Институт энергетики электроники и связи,"Кафедра автоматизированного электропривода, электромеханики и электротехники",106,17,32,64,69
37067811,Физический факультет,Кафедра биофизики и физики конденсированного состояния,107,40,20,19,72
24917320,Институт математики и информационных технологий,Кафедра математики и цифровых технологий,108,91,19,85,11
78355449,Институт энергетики электроники и связи,"Кафедра автоматизированного электропривода, электромеханики и электротехники",109,90,96,4,57
87075246,Институт языков и культур,Кафедра русской филологии и методики преподавания русского языка,110,18,70,14,32
93645810,Аэрокосмический институт,Кафедра управления и информатики в технических системах,111,51,49,23,95
11593487,Институт энергетики электроники и связи,Кафедра электро- и теплоэнергетики,112,10,100,2,36
2487877,Архитектурно-строительный факультет,Кафедра архитектуры,113,43,50,61,100
39260684,Факультет подготовки иностранных граждан,Кафедра русского языка и общеобразовательных дисциплин,114,27,97,94,68
9614786,Институт энергетики электроники и связи,Кафедра промышленной электроники и информационно-измерительной техники,115,1,59,53,26
53007215,Институт менеджмента экономики и предпринимательства,Кафедра финансов,116,58,24,44,7
39049192,Химико-биологический факультет,Кафедра биохимии и микробиологии,117,10,3,18,51
7460032,Химико-биологический факультет,Кафедра биохимии и микробиологии,118,62,47,25,74
91912923,Аэрокосмический институт,Кафедра управления и информатики в технических системах,119,59,40,69,60
26450199,Архитектурно-строительный факультет,"Кафедра теплогазоснабжения, вентиляции и гидромеханики",120,78,42,9,26
87262616,Юридический факультет,Кафедра конкурентного права и развития конкуренции,121,63,39,66,20
72206041,Архитектурно-строительный факультет,"Кафедра начертательной геометрии, инженерной и компьютерной графики",122,28,48,31,42
1295587,Транспортный факультет,"Кафедра метрологии, стандартизации и сертификации",123,98,79,87,7
75510530,Юридический факультет,Кафедра конкурентного права и развития конкуренции,124,94,67,15,29
61333678,Институт энергетики электроники и связи,Кафедра промышленной электроники и информационно-измерительной техники,125,1,80,100,69
35738774,Институт социальных и гуманитарных наук,"Кафедра философии, культурологии и социологии",126,1,64,97,7
64998627,Транспортный факультет,"Кафедра метрологии, стандартизации и сертификации",127,8,59,50,97
3972257,Факультет подготовки иностранных граждан,Кафедра русского языка и общеобразовательных дисциплин,128,59,45,65,38
265889,Транспортный факультет,Кафедра автомобильного транспорта,129,71,19,3,98
24069105,Институт наук о Земле,Кафедра экологии и природопользования,130,37,28,43,35
18935400,Юридический факультет,Кафедра административного и финансового права,131,50,60,71,69
71629302,Институт социальных и гуманитарных наук,Кафедра общей психологии и психологии личности,132,100,48,67,49
82353634,Институт языков и культур,Кафедра теории и практики перевода,133,58,62,78,3
54149909,Архитектурно-строительный факультет,Кафедра технологии строительного производства,134,56,4,36,5
16196500,Институт языков и культур,Кафедра немецкой филологии и методики преподавания немецкого языка,135,70,95,73,26
17109736,Юридический факультет,Кафедра административного и финансового права,136,54,88,23,62
73922381,Химико-биологический факультет,Кафедра химии,137,47,4,71,68
99652797,Институт социальных и гуманитарных наук,Кафедра истории,138,23,6,51,44
76771959,Юридический факультет,Кафедра гражданского права и процесса,139,92,71,37,43
65254890,Аэрокосмический институт,"Кафедра механики материалов, конструкций и машин",140,33,52,56,13
93580268,Факультет подготовки иностранных граждан,Кафедра русского языка и общеобразовательных дисциплин,141,8,96,81,70
79907120,Архитектурно-строительный факультет,Кафедра технологии строительного производства,142,85,23,99,7
44371706,Факультет подготовки иностранных граждан,Кафедра русского языка и общеобразовательных дисциплин,143,91,85,29,69
30663529,Транспортный факультет,Кафедра технической эксплуатации и ремонта автомобилей,144,31,75,90,98
24142471,Институт энергетики электроники и связи,Кафедра промышленной электроники и информационно-измерительной техники,145,45,53,78,66
86918284,Институт энергетики электроники и связи,Кафедра электро- и теплоэнергетики,146,99,43,23,34
44709602,Факультет подготовки иностранных граждан,Кафедра русского языка и общеобразовательных дисциплин,147,79,89,50,4
5982177,Институт социальных и гуманитарных наук,Кафедра истории,148,84,84,43,25
34507351,Химико-биологический факультет,Кафедра биохимии и микробиологии,149,88,62,98,14
5560933,Юридический факультет,Кафедра организации судебной и прокурорско-следственной деятельности,150,97,35,48,3
49208904,Институт социальных и гуманитарных наук,Кафедра общей психологии и психологии личности,151,30,89,78,22
70068402,Институт наук о Земле,Кафедра экологии и природопользования,152,39,30,45,6
43197242,Химико-биологический факультет,Кафедра биохимии и микробиологии,153,52,93,38,69
40861200,Институт менеджмента экономики и предпринимательства,Кафедра банковского дела и страхования,154,4,67,47,38
6196512,Институт менеджмента экономики и предпринимательства,Кафедра государственного и муниципального управления,155,61,53,11,59
65118911,Институт языков и культур,Кафедра теории и практики перевода,156,50,15,11,60
47946145,Институт языков и культур,Кафедра дизайна,157,90,62,92,51
7747775,Институт энергетики электроники и связи,Кафедра промышленной электроники и информационно-измерительной техники,158,30,52,45,30
92374173,Институт энергетики электроники и связи,Кафедра промышленной электроники и информационно-измерительной техники,159,67,66,56,97
74725521,Институт математики и информационных технологий,Кафедра математики и цифровых технологий,160,99,60,55,19
9567027,Институт менеджмента экономики и предпринимательства,"Кафедра рекламы, связей с общественностью и прикладной политологии",161,40,42,31,37
25783339,Аэрокосмический институт,"Кафедра технологии машиностроения, металлообрабатывающих станков и комплексов",162,19,7,82,78
30819581,Факультет прикладной биотехнологии и инженерии,Кафедра пищевой биотехнологии,163,82,71,47,88
15059361,Архитектурно-строительный факультет,"Кафедра теплогазоснабжения, вентиляции и гидромеханики",164,85,20,93,37
69390733,Институт энергетики электроники и связи,Кафедра электро- и теплоэнергетики,165,86,43,82,31
35425087,Факультет подготовки иностранных граждан,Кафедра русского языка и общеобразовательных дисциплин,166,74,22,94,41
92022378,Транспортный факультет,Кафедра автомобильного транспорта,167,16,86,67,80
8284429,Институт менеджмента экономики и предпринимательства,Кафедра банковского дела и страхования,168,76,61,14,5
75289077,Юридический факультет,Кафедра теории государства и права и конституционного права,169,32,67,71,18
34506358,Институт математики и информационных технологий,Кафедра программного обеспечения вычислительной техники и автоматизированных систем,170,100,30,83,98
49951532,Аэрокосмический институт,"Кафедра технологии машиностроения, металлообрабатывающих станков и комплексов",171,85,31,42,33
43276000,Институт социальных и гуманитарных наук,Кафедра общей психологии и психологии личности,172,63,8,14,98
8468292,Факультет прикладной биотехнологии и инженерии,Кафедра биотехнологии животного сырья и аквакультуры,173,28,90,72,88
80334558,Факультет подготовки иностранных граждан,Кафедра русского языка и общеобразовательных дисциплин,174,13,65,76,7
21856267,Институт математики и информационных технологий,Кафедра программного обеспечения вычислительной техники и автоматизированных систем,175,69,57,80,81
19506406,Институт энергетики электроники и связи,Кафедра промышленной электроники и информационно-измерительной техники,176,94,21,71,95
68487617,Физический факультет,Кафедра радиофизики и электроники,177,63,58,18,35
42558799,Институт наук о Земле,Кафедра безопасности жизнедеятельности,178,70,81,51,89
57395121,Институт менеджмента экономики и предпринимательства,Кафедра таможенного дела,179,49,4,80,53
58424508,Институт энергетики электроники и связи,"Кафедра автоматизированного электропривода, электромеханики и электротехники",180,72,41,87,14
73056244,Институт менеджмента экономики и предпринимательства,"Кафедра рекламы, связей с общественностью и прикладной политологии",181,57,27,50,54
94119442,Факультет подготовки иностранных граждан,Кафедра русского языка и общеобразовательных дисциплин,182,71,64,74,30
79947682,Факультет подготовки иностранных граждан,Кафедра русского языка и общеобразовательных дисциплин,183,64,60,26,59
39042949,Институт менеджмента экономики и предпринимательства,Кафедра таможенного дела,184,83,95,20,20
55470279,Институт языков и культур,Кафедра русской филологии и методики преподавания русского языка,185,76,56,1,82
23175268,Институт энергетики электроники и связи,Кафедра промышленной электроники и информационно-измерительной техники,186,63,35,92,7
4532768,Архитектурно-строительный факультет,"Кафедра начертательной геометрии, инженерной и компьютерной графики",187,74,87,45,91
35526633,Аэрокосмический институт,Кафедра систем автоматизации производства,188,52,36,94,32
41498020,Институт языков и культур,Кафедра теории и практики перевода,189,18,8,17,89
36902037,Архитектурно-строительный факультет,"Кафедра теплогазоснабжения, вентиляции и гидромеханики",190,98,64,45,5
19466470,Институт энергетики электроники и связи,Кафедра электро- и теплоэнергетики,191,22,36,8,18
91379933,Институт наук о Земле,Кафедра экологии и природопользования,192,39,99,42,75
41208246,Институт менеджмента экономики и предпринимательства,Кафедра государственного и муниципального управления,193,50,26,1,44
92982809,Архитектурно-строительный факультет,Кафедра автомобильных дорог и строительных материалов,194,72,30,26,76
77143159,Институт менеджмента экономики и предпринимательства,Кафедра финансов,195,62,1,89,88
73179424,Институт математики и информационных технологий,Кафедра прикладной математики,196,99,56,8,79
8816924,Химико-биологический факультет,Кафедра химии,197,2,79,74,53
99812009,Архитектурно-строительный факультет,Кафедра технологии строительного производства,198,50,27,68,77
30109588,Институт менеджмента экономики и предпринимательства,"Кафедра бухгалтерского учета, анализа и аудита",199,95,88,28,32
62635855,Институт наук о Земле,Кафедра географии и регионоведения,200,26,22,57,48
39002321,Аэрокосмический институт,Кафедра материаловедения и технологии материалов,201,77,51,23,60
13400037,Институт математики и информационных технологий,Кафедра статистики и эконометрики,202,62,9,12,95
98816660,Институт социальных и гуманитарных наук,Кафедра истории,203,92,46,42,99
28905474,Факультет подготовки иностранных граждан,Кафедра русского языка и общеобразовательных дисциплин,204,34,36,82,86
30194726,Институт социальных и гуманитарных наук,Кафедра истории,205,51,66,1,91
63551949,Аэрокосмический институт,Кафедра систем автоматизации производства,206,10,86,58,65
79455601,Институт менеджмента экономики и предпринимательства,Кафедра маркетинга и торгового дела,207,91,42,96,71
77266786,Институт математики и информационных технологий,Кафедра программного обеспечения вычислительной техники и автоматизированных систем,208,60,9,98,12
63000799,Институт математики и информационных технологий,Кафедра математики и цифровых технологий,209,7,33,19,32
25798598,Физический факультет,Кафедра биофизики и физики конденсированного состояния,210,10,92,34,72
82400001,Институт социальных и гуманитарных наук,"Кафедра философии, культурологии и социологии",211,44,52,52,31
19616316,Юридический факультет,Кафедра теории государства и права и конституционного права,212,53,4,6,15
85425433,Институт менеджмента экономики и предпринимательства,"Кафедра управления персоналом, сервиса и туризма",213,67,23,4,32
82442679,Химико-биологический факультет,Кафедра химии,214,33,93,46,47
96613883,Физический факультет,Кафедра физики и методики преподавания физики,215,7,22,41,53
93801654,Институт энергетики электроники и связи,"Кафедра автоматизированного электропривода, электромеханики и электротехники",216,16,27,21,38
83489438,Институт социальных и гуманитарных наук,Кафедра общей психологии и психологии личности,217,31,23,22,63
22897381,Физический факультет,Кафедра медико-биологической техники,218,66,32,71,57
65248331,Химико-биологический факультет,Кафедра биохимии и микробиологии,219,19,100,15,99
17766666,Юридический факультет,Кафедра конкурентного права и развития конкуренции,220,4,82,75,39
6236840,Институт менеджмента экономики и предпринимательства,Кафедра финансов,221,36,26,100,70
51958720,Транспортный факультет,Кафедра автомобильного транспорта,222,65,99,33,87
43650552,Юридический факультет,Кафедра уголовного процесса и криминалистики,223,53,55,91,76
19892364,Архитектурно-строительный факультет,Кафедра архитектуры,224,33,90,48,48
25611193,Факультет прикладной биотехнологии и инженерии,Кафедра биотехнологии животного сырья и аквакультуры,225,15,63,8,46
66368931,Институт наук о Земле,Кафедра экологии и природопользования,226,38,44,84,57
73636914,Юридический факультет,Кафедра административного и финансового права,227,79,85,17,65
32438790,Факультет подготовки иностранных граждан,Кафедра русского языка и общеобразовательных дисциплин,228,2,36,31,45
46238950,Институт энергетики электроники и связи,Кафедра промышленной электроники и информационно-измерительной техники,229,93,61,64,75
85657506,Институт энергетики электроники и связи,"Кафедра автоматизированного электропривода, электромеханики и электротехники",230,47,43,61,50
60395811,Институт менеджмента экономики и предпринимательства,"Кафедра управления персоналом, сервиса и туризма",231,8,91,30,77
96264304,Аэрокосмический институт,"Кафедра механики материалов, конструкций и машин",232,62,72,53,19
47302314,Химико-биологический факультет,Кафедра биохимии и микробиологии,233,9,2,43,15
85105563,Институт математики и информационных технологий,Кафедра компьютерной безопасности и математического обеспечения информационных систем,234,22,27,43,58
61282624,Транспортный факультет,Кафедра автомобильного транспорта,235,94,3,36,9
77726552,Юридический факультет,Кафедра уголовного права,236,21,96,100,81
1052181,Транспортный факультет,Кафедра автомобильного транспорта,237,76,8,75,30
63343752,Транспортный факультет,"Кафедра метрологии, стандартизации и сертификации",238,5,96,53,22
40939397,Физический факультет,Кафедра биофизики и физики конденсированного состояния,239,33,97,78,33
64072012,Факультет прикладной биотехнологии и инженерии,Кафедра технологии пищевых производств,240,30,82,44,62
43317399,Аэрокосмический институт,Кафедра летательных аппаратов,241,28,35,57,51
11773348,Аэрокосмический институт,"Кафедра механики материалов, конструкций и машин",242,78,90,1,76
83706469,Аэрокосмический институт,Кафедра систем автоматизации производства,243,81,47,16,27
8056109,Институт наук о Земле,Кафедра безопасности жизнедеятельности,244,5,96,1,75
77549817,Институт социальных и гуманитарных наук,Кафедра истории,245,100,86,96,19
64725672,Химико-биологический факультет,Кафедра биологии и почвоведения,246,7,2,98,7
61048442,Юридический факультет,Кафедра административного и финансового права,247,85,30,54,25
23176647,Физический факультет,Кафедра медико-биологической техники,248,36,9,13,68
71004361,Химико-биологический факультет,Кафедра биологии и почвоведения,249,24,65,76,27
8074631,Институт социальных и гуманитарных наук,"Кафедра философии, культурологии и социологии",250,32,56,77,49
54198316,Факультет подготовки иностранных граждан,Кафедра русского языка и общеобразовательных дисциплин,251,26,71,63,11
